'CPIN239','Systems Analysis and Design'
'CPIN269','Information Technology Project Management'
'CPIN270','Workforce Preparation: Comptia Project+ Certification'
'CPIN279','Information Technology Capstone'
'CPIN280','Computing and Informatics CO-OP/Internship/Externship'
'CSCI101','Computer Science I'
'CSCI102','Computer Science II'
'CSCI105','Discrete Logic for Computers'
'CSCI201','Computer Science II'
'CSCI202','Data Structures'
'CSCI205','Computer Organization and Architecture'
'CSCI210','Database Systems'
'CSCI279','Capstone Course'
'CSIA105','Introduction to Cyber Security/Information Assurance'
'CSIA106','Workforce Preparation: CompTIA Security+ Certification'
'CSIA115','Cyber Ops'
'CSIA135','Digital Forensics'
'CSIA210','Network Protocol Analysis'
'CSIA215','Perimeter Defense'
'CSIA225','Ethical Hacking'
'CSIA235','Advanced Digital Forensics'
'CSIA245','Cryptography/Secure Coding Theory and Application'
'CSIA260','Business Continuity in an Information World'
'DBMS110','Introduction to Data Analytics'
'DBMS130','Data Management using Structured Query Language'
'DBMS131','Workforce Preparation: Oracle SQL Foundations Certification'
'DBMS160','Data Visualization and Analysis'
'DBMS210','Database Design and Development'
'DBMS260','Advanced Data Analytics'
'INFM109','Informatics Fundamentals'
'INFM209','Informatics and Human-Computer Interaction'
'INFM219','Business Intelligence and Reporting'
'INFM260','Salesforce Administration'
'INFM261','Workforce Preparation: Salesforce Administration Certification'
'ITSP132','IT Support Essentials I'
'ITSP134','IT Support Essentials II'
'ITSP135','Hardware / Software Support'
'ITSP136','Workforce Preparation: CompTIA A+ Certification'
'ITSP215','Mobile / Wireless Computing Support'
'ITSP216','Workforce Preparation: Certified Wireless Technology Specialist Certification'
'ITSP225','Help Desk Software and Technology Support'
'ITSP235','Internet of Things Fundamentals'
'NETI100','Network Communications'
'NETI104','Introduction to Networking'
'NETI105','Network Fundamentals'
'NETI109','Networking I'
'NETI114','Workforce Preparation: CompTIA Networ+ Certification'
'NETI115','Routing and Switching'
'NETI116','Workforce Preparation: Cisco Certified Entry Networking Technician (CCENT) Certification'
'NETI119','Networking II'
'NETI120','Infrastructure Design - Logical and Physical'
'NETI205','Scaling Networks'
'NETI209','Networking III'
'NETI210','Network Security'
'NETI215','Connecting Networks'
'NETI216','Workforce Preparation: Interconnecting Cisco Networking Devices Part 2 (ICND2) Certification'
'NETI217','Workforce Preparation: Cisco Certified Network Associate (CCNA) Certification'
'NETI218','Cisco Certified Network Associate v7 Bridging Content'
'NETI219','Workforce Preparation: Cisco Certified Network Associate (CCNA) Certification'
'NETI245','Voice over Internet Protocol'
'NETI250','Wireless LAN Networking'
'SDEV120','Computing Logic'
'SDEV140','Introduction to Software Development'
'SDEV148','Introduction to Game Development'
'SDEV153','Website Development'
'SDEV155','Content Management Systems'
'SDEV200','Software Development Using Java'
'SDEV210','Software Development using Visual Basic in the .NET Framework'
'SDEV220','Software Development Using Python'
'SDEV230','Software Development Using C++'
'SDEV240','Software Development Using C#'
'SDEV245','Security and Secure Coding'
'SDEV248','Advanced Simulation and Game Design'
'SDEV250','Client-Side Scripting Languages and Tools'
'SDEV253','Server-Side Scripting Languages and Tools'
'SDEV255','Web Application Development'
'SDEV257','Hybrid Apps and Frameworks'
'SDEV260','iOS Swift Application Development'
'SDEV264','Mobile Application Development'
'SDEV265','Systems/Software Analysis and Projects'
'SDEV266','Advanced iOS Swift Application Development'
'SDEV268','Algorithms and Design Patterns'
'SDEV270','Workforce Preparation: Microsoft Development Fundamentals MTA Certification'
'SDEV271','Workforce Preparation: Java Foundations Certification'
'SDEV272','Workforce Preparation: Python'
'SDEV273','Workforce Preparation: C++ Ins'
'SDEV274','Workforce Preparation: Microsoft C# Jump Start Certification'
'SDEV275','Workforce Preparation: MTA 98-375 HTML5 Fundamentals Certification'
'SDEV276','Workforce Preparation: ATC Android Application Development Certification'
'SVAD111','Linux and Virtualization Tech'
'SVAD116','Linux Administration I'
'SVAD117','Workforce Preparation: CompTIA Linux+ Certification'
'SVAD121','Enterprise Computing'
'SVAD124','RedHat System Administration I'
'SVAD134','RedHat System Administration II'
'SVAD150','Cloud Foundations'
'SVAD151','Workforce Preparation - AWS Cloud Practitioner'
'SVAD152','Workforce Preparation - CompTIA Cloud+'
'SVAD153','Workforce Preparation - Azure Fundamentals'
'SVAD170','Monitoring and Issue Resolution'
'SVAD211','Virtualization and Storage'
'SVAD216','Linux Administration II'
'SVAD217','Workforce Preparation: RHCSA Certification'
'SVAD220','Solutions Architect Associate'
'SVAD221','Workforce Preparation: Solutions Architect Associate Certification'
'SVAD224','RedHat System Administration III'
'SVAD225','Workforce Preparation: RedHat Certified Systems Administrator Certification'
'SVAD230','Hybrid Systems'
'SVAD231','Microsoft Server Administration I'
'SVAD232','Workforce Preparation: Microsoft 70-740 Certification'
'SVAD236','Microsoft Server Administration II'
'SVAD237','Workforce Preparation: Microsoft 70-741 Certification'
'SVAD241','Microsoft Server Administration III'
'SVAD242','Workforce Preparation: Microsoft 70-742 Certification'
'SVAD246','Microsoft Server Administration IV'
'SVAD247','Workforce Preparation: Microsoft 70-413 Certification'
'SVAD250','Linux Administration III'
'SVAD252','Workforce Preparation: LPIC II-202 Certification'
'SVAD257','Workforce Preparation: Microsoft 70-414 Certification'
'SVAD260','Systems Automation and Orchestration'
'SVAD265','Azure Services and Technology'
'SVAD266','Workforce Preparation Microsoft Azure Administrator'
